Internship Id,Company name,Internship location,offline / online,stipend,skill required,experience,about the job,deadline for apply,number of opening,duration,Role,Website link of company (optional)
INT-1114,INDmoney,Bengaluru,Offline,"₹38,117/month","NumPy, Tableau, Python, SQL, Pandas",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-31-2025,14,2 months,Data Science,https://www.indmoney.com
INT-1115,INDmoney,Mumbai,Offline,"₹40,563/month","Social Media, Content Marketing, Google Analytics, PPC, SEO",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-20-2025,20,2 months,Digital Marketing,https://www.indmoney.com
INT-1116,INDmoney,Bengaluru,Online,"₹44,096/month","Content Marketing, PPC, Social Media",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-8-2025,25,3 months,Digital Marketing,https://www.indmoney.com
INT-1117,Paytm,Bengaluru,Online,"₹36,291/month","Supply Chain, Logistics, Analytics, Project Management",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-26-2025,14,3 months,Operations,https://www.paytm.com
INT-1118,Paytm,Bengaluru,Offline,"₹32,884/month","Python, JavaScript, Node.js",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-3-2025,9,6 months,Software Development,https://www.paytm.com
INT-1119,Paytm,Noida,Online,"₹35,144/month","SQL, Node.js, JavaScript",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-18-2025,4,2 months,Software Development,https://www.paytm.com
INT-1120,Paytm,Noida,Online,"₹35,080/month","Wireframing, Market Research, Agile, Product Strategy, Analytics",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-8-2025,7,4 months,Product Management,https://www.paytm.com
INT-1121,Paytm,Noida,Online,"₹30,176/month","Deep Learning, Computer Vision, Python, PyTorch",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-16-2025,10,12 months,Machine Learning,https://www.paytm.com
INT-1122,Paytm,Noida,Offline,"₹31,367/month","Computer Vision, PyTorch, NLP",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-11-2025,24,2 months,Machine Learning,https://www.paytm.com
INT-1123,Paytm,Bengaluru,Offline,"₹35,369/month","SEO, Research, Social Media, Copywriting, Writing",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-23-2025,15,6 months,Content Writing,https://www.paytm.com
INT-1124,Paytm,Noida,Offline,"₹37,148/month","CRM, Client Relations, Sales",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",11-11-2025,21,2 months,Business Development,https://www.paytm.com
INT-1125,Paytm,Bengaluru,Online,"₹35,050/month","Market Analysis, CRM, Sales, Negotiation, Client Relations",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",11-1-2025,22,2 months,Business Development,https://www.paytm.com
INT-1126,PhonePe,Pune (Hybrid),Hybrid,"₹33,836/month","Training, Recruitment, Employee Relations",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",11-2-2025,18,3 months,HR,https://www.phonepe.com
INT-1127,PhonePe,Bengaluru,Offline,"₹40,088/month","User Research, Prototyping, Adobe XD, Figma, Wireframing",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-10-2025,17,2 months,UI/UX Design,https://www.phonepe.com
INT-1128,PhonePe,Pune,Online,"₹40,959/month","Automation Testing, JIRA, Bug Tracking, Selenium, Manual Testing",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",11-8-2025,16,6 months,Quality Assurance,https://www.phonepe.com
INT-1129,PhonePe,Pune,Offline,"₹41,940/month","HR Analytics, Recruitment, Training",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-15-2025,23,4 months,HR,https://www.phonepe.com
INT-1130,PhonePe,Pune,Online,"₹37,476/month","Node.js, Java, JavaScript",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-4-2025,11,12 months,Software Development,https://www.phonepe.com
INT-1131,PhonePe,Pune,Online,"₹34,241/month","Google Analytics, Content Marketing, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-15-2025,22,4 months,Digital Marketing,https://www.phonepe.com
INT-1132,PhonePe,Pune (Hybrid),Hybrid,"₹34,025/month","SEO, PPC, Google Analytics, Social Media",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-5-2025,18,6 months,Digital Marketing,https://www.phonepe.com
INT-1133,PhonePe,Pune,Online,"₹34,013/month","Python, SQL, React, Java, Node.js",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-16-2025,16,4 months,Software Development,https://www.phonepe.com
INT-1134,Razorpay,Bengaluru,Offline,"₹41,428/month","JavaScript, Node.js, Python, Java, SQL",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-31-2025,9,12 months,Software Development,https://www.razorpay.com
INT-1135,Razorpay,Delhi (Hybrid),Hybrid,"₹39,681/month","JavaScript, Java, Node.js",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-20-2025,20,6 months,Software Development,https://www.razorpay.com
INT-1136,Razorpay,Bengaluru,Online,"₹47,091/month","CRM, Sales, Market Analysis, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-4-2025,4,12 months,Business Development,https://www.razorpay.com
INT-1137,Razorpay,Bengaluru (Hybrid),Hybrid,"₹39,844/month","CRM, Sales, Negotiation, Market Analysis, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-4-2025,22,4 months,Business Development,https://www.razorpay.com
INT-1138,Razorpay,Delhi,Online,"₹42,916/month","SEO, Social Media, Research",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-1-2025,8,2 months,Content Writing,https://www.razorpay.com
INT-1139,Razorpay,Delhi,Online,"₹44,855/month","Figma, Prototyping, Adobe XD, Wireframing, User Research",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-15-2025,25,6 months,UI/UX Design,https://www.razorpay.com
INT-1140,Razorpay,Delhi,Offline,"₹46,340/month","Tableau, R, SQL",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-8-2025,22,12 months,Data Science,https://www.razorpay.com
INT-1141,Razorpay,Delhi,Offline,"₹38,126/month","Financial Modeling, Financial Analysis, Excel",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-5-2025,20,4 months,Finance,https://www.razorpay.com
INT-1142,Razorpay,Bengaluru,Offline,"₹41,304/month","User Research, Prototyping, Wireframing, Adobe XD",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-20-2025,23,12 months,UI/UX Design,https://www.razorpay.com
INT-1143,Razorpay,Delhi,Offline,"₹46,226/month","Manual Testing, Selenium, Automation Testing, Bug Tracking, JIRA",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-27-2025,24,2 months,Quality Assurance,https://www.razorpay.com
INT-1144,Cred,Bengaluru (Hybrid),Hybrid,"₹40,141/month","HR Analytics, Training, Recruitment",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",11-5-2025,22,3 months,HR,https://www.cred.club
INT-1145,Cred,Bengaluru,Offline,"₹43,274/month","Sales, CRM, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-24-2025,20,3 months,Business Development,https://www.cred.club
INT-1146,Cred,Bengaluru,Offline,"₹44,287/month","Python, Deep Learning, Computer Vision, PyTorch",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-19-2025,18,3 months,Machine Learning,https://www.cred.club
INT-1147,Cred,Mumbai,Online,"₹36,441/month","HR Analytics, Employee Relations, Recruitment",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-20-2025,24,4 months,HR,https://www.cred.club
INT-1148,Cred,Mumbai,Offline,"₹44,206/month","Sales, CRM, Negotiation, Market Analysis, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-3-2025,14,3 months,Business Development,https://www.cred.club
INT-1149,Cred,Bengaluru,Offline,"₹41,628/month","Figma, Adobe XD, Prototyping, Wireframing",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",9-30-2025,5,2 months,UI/UX Design,https://www.cred.club
INT-1150,Cred,Mumbai (Hybrid),Hybrid,"₹35,735/month","Python, R, NumPy, SQL, Pandas",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-17-2025,11,3 months,Data Science,https://www.cred.club
INT-1151,Cred,Bengaluru,Online,"₹40,391/month","Google Analytics, PPC, Social Media, SEO",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-31-2025,4,4 months,Digital Marketing,https://www.cred.club
INT-1152,Cred,Mumbai (Hybrid),Hybrid,"₹44,271/month","Manual Testing, Bug Tracking, Selenium, JIRA, Automation Testing",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-24-2025,10,4 months,Quality Assurance,https://www.cred.club
INT-1153,Cred,Bengaluru,Offline,"₹43,146/month","Bug Tracking, Selenium, Automation Testing, JIRA, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",9-30-2025,16,6 months,Quality Assurance,https://www.cred.club
INT-1154,Cred,Bengaluru (Hybrid),Hybrid,"₹40,826/month","Bug Tracking, Selenium, JIRA, Manual Testing, Automation Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-5-2025,16,4 months,Quality Assurance,https://www.cred.club
INT-1155,Apollo HealthCo,Chennai (Hybrid),Hybrid,"₹33,839/month","Prototyping, Figma, Wireframing, User Research",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-8-2025,23,4 months,UI/UX Design,https://www.apollohealthco.in
INT-1156,Apollo HealthCo,Chennai (Hybrid),Hybrid,"₹30,847/month","Recruitment, Compliance, HR Analytics, Training",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-26-2025,24,3 months,HR,https://www.apollohealthco.in
INT-1157,Apollo HealthCo,Hyderabad,Online,"₹25,659/month","Social Media, Writing, Research, SEO",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-8-2025,25,2 months,Content Writing,https://www.apollohealthco.in
INT-1158,Apollo HealthCo,Chennai (Hybrid),Hybrid,"₹30,218/month","JavaScript, Python, Java, React, Node.js",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-14-2025,22,2 months,Software Development,https://www.apollohealthco.in
INT-1159,Apollo HealthCo,Hyderabad,Offline,"₹30,370/month","Adobe XD, Prototyping, Wireframing",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-3-2025,8,3 months,UI/UX Design,https://www.apollohealthco.in
INT-1160,Apollo HealthCo,Hyderabad (Hybrid),Hybrid,"₹31,819/month","Computer Vision, Python, TensorFlow, Deep Learning, PyTorch",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-9-2025,18,3 months,Machine Learning,https://www.apollohealthco.in
INT-1161,Apollo HealthCo,Chennai (Hybrid),Hybrid,"₹26,179/month","Compliance, Training, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",11-6-2025,9,4 months,HR,https://www.apollohealthco.in
INT-1162,Apollo HealthCo,Hyderabad (Hybrid),Hybrid,"₹27,417/month","Client Relations, Market Analysis, Negotiation, CRM",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-8-2025,2,6 months,Business Development,https://www.apollohealthco.in
INT-1163,Apollo HealthCo,Chennai (Hybrid),Hybrid,"₹31,013/month","CRM, Market Analysis, Negotiation",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",9-30-2025,24,4 months,Business Development,https://www.apollohealthco.in
INT-1164,Apollo HealthCo,Chennai,Online,"₹33,524/month","Copywriting, SEO, Writing, Research, Social Media",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",11-4-2025,13,2 months,Content Writing,https://www.apollohealthco.in
INT-1165,Apollo HealthCo,Chennai (Hybrid),Hybrid,"₹29,631/month","Training, Employee Relations, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-6-2025,17,2 months,HR,https://www.apollohealthco.in
INT-1166,Practo,Delhi,Online,"₹33,809/month","Agile, Analytics, Market Research, Product Strategy",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-6-2025,18,4 months,Product Management,https://www.practo.com
INT-1167,Practo,Bengaluru,Offline,"₹30,358/month","Content Marketing, Google Analytics, SEO, PPC",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",9-29-2025,24,2 months,Digital Marketing,https://www.practo.com
INT-1168,Practo,Delhi (Hybrid),Hybrid,"₹29,091/month","JIRA, Manual Testing, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-9-2025,13,3 months,Quality Assurance,https://www.practo.com
INT-1169,Practo,Bengaluru,Offline,"₹29,555/month","Agile, Market Research, Analytics, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-3-2025,9,3 months,Product Management,https://www.practo.com
INT-1170,Practo,Delhi,Online,"₹33,915/month","PyTorch, TensorFlow, Python",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-28-2025,2,3 months,Machine Learning,https://www.practo.com
INT-1171,Practo,Bengaluru (Hybrid),Hybrid,"₹28,633/month","SQL, Python, Java",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",11-3-2025,11,2 months,Software Development,https://www.practo.com
INT-1172,Practo,Bengaluru,Online,"₹33,358/month","JIRA, Bug Tracking, Selenium, Automation Testing, Manual Testing",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-1-2025,16,4 months,Quality Assurance,https://www.practo.com
INT-1173,Practo,Delhi,Offline,"₹29,615/month","Google Analytics, Social Media, SEO",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-15-2025,9,4 months,Digital Marketing,https://www.practo.com
INT-1174,Practo,Bengaluru,Online,"₹32,301/month","TensorFlow, NLP, Deep Learning, Python",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-25-2025,14,6 months,Machine Learning,https://www.practo.com
INT-1175,Practo,Bengaluru,Offline,"₹34,690/month","Training, Employee Relations, Compliance",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-28-2025,21,12 months,HR,https://www.practo.com
INT-1176,Practo,Delhi (Hybrid),Hybrid,"₹34,075/month","Manual Testing, Bug Tracking, JIRA, Automation Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-2-2025,6,6 months,Quality Assurance,https://www.practo.com
INT-1177,Practo,Delhi,Online,"₹29,262/month","Negotiation, Market Analysis, Client Relations, CRM",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",9-30-2025,20,6 months,Business Development,https://www.practo.com
INT-1178,1mg,Bengaluru,Online,"₹26,241/month","SEO, PPC, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-20-2025,19,6 months,Digital Marketing,https://www.1mg.com
INT-1179,1mg,Gurgaon,Offline,"₹30,152/month","Prototyping, Wireframing, Figma, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",9-28-2025,3,6 months,UI/UX Design,https://www.1mg.com
INT-1180,1mg,Bengaluru (Hybrid),Hybrid,"₹31,255/month","CRM, Negotiation, Client Relations, Sales",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-20-2025,4,12 months,Business Development,https://www.1mg.com
INT-1181,1mg,Gurgaon,Online,"₹25,716/month","TensorFlow, Deep Learning, NLP",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-12-2025,12,12 months,Machine Learning,https://www.1mg.com
INT-1182,1mg,Gurgaon,Online,"₹27,693/month","PyTorch, Computer Vision, NLP, Deep Learning, Python",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-7-2025,16,2 months,Machine Learning,https://www.1mg.com
INT-1183,1mg,Gurgaon,Offline,"₹34,800/month","Sales, Client Relations, Market Analysis",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-1-2025,19,6 months,Business Development,https://www.1mg.com
INT-1184,1mg,Gurgaon,Offline,"₹29,306/month","Agile, Market Research, Analytics, Product Strategy",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-19-2025,23,4 months,Product Management,https://www.1mg.com
INT-1185,1mg,Bengaluru,Online,"₹27,123/month","Analytics, Project Management, Supply Chain, Process Improvement",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-10-2025,21,3 months,Operations,https://www.1mg.com
INT-1186,1mg,Bengaluru (Hybrid),Hybrid,"₹29,372/month","Analytics, Logistics, Supply Chain, Project Management, Process Improvement",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-25-2025,17,3 months,Operations,https://www.1mg.com
INT-1187,1mg,Bengaluru,Online,"₹27,932/month","Client Relations, Market Analysis, CRM, Sales, Negotiation",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-7-2025,11,6 months,Business Development,https://www.1mg.com
INT-1188,Synapxe,Remote,Online,"₹37,105/month","Financial Analysis, Accounting, Risk Assessment, Excel",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-17-2025,8,3 months,Finance,https://www.synapxe.sg
INT-1189,Synapxe,Remote,Online,"₹35,235/month","JIRA, Automation Testing, Bug Tracking, Selenium",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-24-2025,3,4 months,Quality Assurance,https://www.synapxe.sg
INT-1190,Synapxe,Remote,Online,"₹35,510/month","PyTorch, Computer Vision, Python, TensorFlow, NLP",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-22-2025,22,4 months,Machine Learning,https://www.synapxe.sg
INT-1191,Synapxe,Remote,Online,"₹30,028/month","PPC, SEO, Content Marketing, Google Analytics, Social Media",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",11-6-2025,7,2 months,Digital Marketing,https://www.synapxe.sg
INT-1192,Synapxe,Remote,Online,"₹37,910/month","Google Analytics, Content Marketing, Social Media, PPC, SEO",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",9-29-2025,2,4 months,Digital Marketing,https://www.synapxe.sg
INT-1193,Synapxe,Remote,Online,"₹31,936/month","SEO, PPC, Social Media, Google Analytics, Content Marketing",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-27-2025,20,3 months,Digital Marketing,https://www.synapxe.sg
INT-1194,Synapxe,Remote,Online,"₹33,195/month","Project Management, Analytics, Process Improvement",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",9-30-2025,16,12 months,Operations,https://www.synapxe.sg
INT-1195,Synapxe,Remote,Online,"₹38,124/month","Training, Recruitment, HR Analytics, Employee Relations",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-21-2025,6,6 months,HR,https://www.synapxe.sg
INT-1196,Synapxe,Remote,Online,"₹37,194/month","Risk Assessment, Accounting, Excel, Financial Analysis",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-8-2025,19,2 months,Finance,https://www.synapxe.sg
INT-1197,Synapxe,Remote,Online,"₹39,663/month","Pandas, Machine Learning, Tableau, NumPy, R",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-22-2025,22,6 months,Data Science,https://www.synapxe.sg
INT-1198,GE HealthCare,Bengaluru,Online,"₹42,819/month","JIRA, Selenium, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-16-2025,8,12 months,Quality Assurance,https://www.gehealthcare.com
INT-1199,GE HealthCare,Bengaluru,Offline,"₹40,147/month","Supply Chain, Analytics, Logistics",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-26-2025,11,3 months,Operations,https://www.gehealthcare.com
INT-1200,GE HealthCare,Chennai (Hybrid),Hybrid,"₹35,710/month","SQL, Node.js, React",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",9-29-2025,25,2 months,Software Development,https://www.gehealthcare.com
INT-1201,GE HealthCare,Bengaluru,Offline,"₹43,231/month","Risk Assessment, Excel, Financial Analysis",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-9-2025,20,6 months,Finance,https://www.gehealthcare.com
INT-1202,GE HealthCare,Chennai,Online,"₹44,621/month","Google Analytics, SEO, PPC, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",11-9-2025,12,6 months,Digital Marketing,https://www.gehealthcare.com
INT-1203,GE HealthCare,Bengaluru,Online,"₹44,505/month","Python, NLP, Deep Learning",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-12-2025,3,4 months,Machine Learning,https://www.gehealthcare.com
INT-1204,GE HealthCare,Chennai (Hybrid),Hybrid,"₹44,190/month","Social Media, Writing, Research",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-10-2025,8,4 months,Content Writing,https://www.gehealthcare.com
INT-1205,GE HealthCare,Bengaluru,Offline,"₹42,140/month","Wireframing, Agile, Analytics, Market Research, Product Strategy",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-3-2025,20,4 months,Product Management,https://www.gehealthcare.com
INT-1206,Swiggy,Bengaluru,Offline,"₹38,779/month","Bug Tracking, JIRA, Manual Testing, Selenium",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-24-2025,23,6 months,Quality Assurance,https://www.swiggy.com
INT-1207,Swiggy,Bengaluru (Hybrid),Hybrid,"₹36,262/month","R, SQL, Machine Learning, Pandas",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-3-2025,6,2 months,Data Science,https://www.swiggy.com
INT-1208,Swiggy,Hyderabad,Online,"₹35,543/month","Deep Learning, PyTorch, Python, NLP",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-11-2025,9,12 months,Machine Learning,https://www.swiggy.com
INT-1209,Swiggy,Bengaluru,Offline,"₹31,923/month","Writing, Research, Social Media, SEO, Copywriting",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-12-2025,4,2 months,Content Writing,https://www.swiggy.com
INT-1210,Swiggy,Hyderabad,Online,"₹38,849/month","Tableau, NumPy, R",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-4-2025,9,12 months,Data Science,https://www.swiggy.com
INT-1211,Swiggy,Hyderabad,Offline,"₹39,769/month","Market Analysis, CRM, Sales, Negotiation, Client Relations",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-29-2025,13,3 months,Business Development,https://www.swiggy.com
INT-1212,Swiggy,Bengaluru (Hybrid),Hybrid,"₹33,691/month","Negotiation, Market Analysis, Sales, CRM",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-23-2025,9,12 months,Business Development,https://www.swiggy.com
INT-1213,Swiggy,Hyderabad (Hybrid),Hybrid,"₹30,781/month","Prototyping, Adobe XD, Figma, User Research, Wireframing",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-6-2025,3,12 months,UI/UX Design,https://www.swiggy.com
INT-1214,Swiggy,Bengaluru,Online,"₹33,357/month","Project Management, Analytics, Supply Chain",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-5-2025,25,2 months,Operations,https://www.swiggy.com
INT-1215,Zomato,Gurgaon,Online,"₹36,983/month","Recruitment, Compliance, HR Analytics, Employee Relations",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-31-2025,12,3 months,HR,https://www.zomato.com
INT-1216,Zomato,Bengaluru,Offline,"₹33,498/month","Market Research, Wireframing, Agile, Analytics",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-15-2025,20,3 months,Product Management,https://www.zomato.com
INT-1217,Zomato,Gurgaon,Offline,"₹28,385/month","Prototyping, Wireframing, Figma, Adobe XD, User Research",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-7-2025,11,12 months,UI/UX Design,https://www.zomato.com
INT-1218,Zomato,Bengaluru,Online,"₹29,530/month","PyTorch, Python, NLP",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",9-28-2025,8,4 months,Machine Learning,https://www.zomato.com
INT-1219,Zomato,Bengaluru (Hybrid),Hybrid,"₹28,067/month","Manual Testing, JIRA, Selenium",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-3-2025,8,6 months,Quality Assurance,https://www.zomato.com
INT-1220,Zomato,Gurgaon,Online,"₹29,413/month","User Research, Prototyping, Figma, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-2-2025,16,2 months,UI/UX Design,https://www.zomato.com
INT-1221,Zomato,Bengaluru (Hybrid),Hybrid,"₹28,024/month","Wireframing, Adobe XD, Prototyping",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-25-2025,4,2 months,UI/UX Design,https://www.zomato.com
INT-1222,Zomato,Bengaluru (Hybrid),Hybrid,"₹30,595/month","Prototyping, Wireframing, Figma, User Research, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-10-2025,25,4 months,UI/UX Design,https://www.zomato.com
INT-1223,Zomato,Bengaluru,Online,"₹32,385/month","TensorFlow, Deep Learning, Computer Vision, Python, NLP",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-6-2025,24,3 months,Machine Learning,https://www.zomato.com
INT-1224,Zomato,Bengaluru (Hybrid),Hybrid,"₹35,504/month","SEO, Writing, Social Media, Copywriting",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-19-2025,14,6 months,Content Writing,https://www.zomato.com
INT-1225,Zomato,Gurgaon,Offline,"₹37,804/month","Java, JavaScript, SQL",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-23-2025,11,3 months,Software Development,https://www.zomato.com
INT-1226,Zomato,Bengaluru (Hybrid),Hybrid,"₹36,788/month","Process Improvement, Analytics, Supply Chain, Logistics",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-1-2025,15,4 months,Operations,https://www.zomato.com
INT-1227,Ola,Bengaluru (Hybrid),Hybrid,"₹34,060/month","Agile, Analytics, Market Research, Product Strategy",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-3-2025,17,2 months,Product Management,https://www.ola.com
INT-1228,Ola,Pune,Offline,"₹39,668/month","Copywriting, Writing, SEO, Social Media",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-16-2025,19,3 months,Content Writing,https://www.ola.com
